CourseID,Course_Name,Description,Prerequisite,Concentration,keywords,keyword_
CSYE_6225,Network Structures and Cloud Computing,"Offers a practical foundation in cloud computing and hands-on experience with the tools used in cloud computing. Designed as a foundation course for cloud-aware, adept professionals. Focuses on the fundamentals of cloud computing, the principal areas of cloud architectures, cloud security, cloud governance, cloud storage, cloud virtualization, and cloud capacity. Discusses the Internet evolution that led to cloud and how cloud applications revolutionized Web applications.",INFO 5100 |  CSYE 6200 ,Data,"['offers', 'practical', 'foundation', 'cloud', 'computing', 'hands', 'experience', 'tools', 'cloud', 'computing', 'designed', 'foundation', 'course', 'cloud', 'aware', 'adept', 'professionals', 'fundamentals', 'cloud', 'computing', 'principal', 'areas', 'cloud', 'architectures', 'cloud', 'security', 'cloud', 'governance', 'cloud', 'storage', 'cloud', 'virtualization', 'cloud', 'capacity', 'discusses', 'internet', 'evolution', 'led', 'cloud', 'cloud', 'applications', 'revolutionized', 'web', 'applications']","['network', 'structures', 'cloud', 'computing']"
DAMG_7245,Big-Data Systems and Intelligence Analytics,"Offers students an opportunity to learn a hands-on approach to understanding how large-scale data sets are processed and how data science algorithms are adopted in the industry through case studies and labs. This project-based course builds on INFO 7390 and focuses on enabling students with tools and frameworks primarily to build end-to-end applications. The course is divided into three parts: building the data pipeline for data science, implementing data science algorithms, and scaling and deploying data science algorithms.",INFO 6105,Data,"['offers', 'students', 'opportunity', 'learn', 'hands', 'approach', 'understanding', 'large', 'scale', 'data', 'sets', 'processed', 'data', 'science', 'algorithms', 'adopted', 'industry', 'case', 'studies', 'labs', 'project', 'based', 'course', 'builds', 'info', 'enabling', 'students', 'tools', 'frameworks', 'primarily', 'build', 'end', 'end', 'applications', 'course', 'divided', 'three', 'parts', 'building', 'data', 'pipeline', 'data', 'science', 'implementing', 'data', 'science', 'algorithms', 'scaling', 'deploying', 'data', 'science', 'algorithms']","['big', 'data', 'systems', 'intelligence', 'analytics']"
INFO_7250,Engineering of Big-Data Systems,"Services such as Web analytics and intelligent e-commerce have promoted a rapid increase in the volume of data generated, analyzed, and archived. In order to solve the problems related to big data, a newer type of database product has emerged. Covers how to apply technologies like Hadoop, Accumulo, MongoDB, and various NoSQL databases to build simple, robust, and efficient systems to manage and analyze big data. Also describes an easy approach to big data systems that can be built and run by a small team of students. Guides students through the theory of big data systems, how to implement them in practice, and how to deploy and operate them once they are built.",INFO 6205 | INFO 7390,Data,"['services', 'web', 'analytics', 'intelligent', 'e', 'commerce', 'promoted', 'rapid', 'increase', 'volume', 'data', 'generated', 'analyzed', 'archived', 'order', 'solve', 'problems', 'related', 'big', 'data', 'newer', 'type', 'database', 'product', 'emerged', 'covers', 'apply', 'technologies', 'like', 'hadoop', 'mongodb', 'various', 'nosql', 'databases', 'build', 'simple', 'robust', 'efficient', 'systems', 'manage', 'analyze', 'big', 'data', 'also', 'describes', 'easy', 'approach', 'big', 'data', 'systems', 'built', 'run', 'small', 'team', 'students', 'guides', 'students', 'theory', 'big', 'data', 'systems', 'implement', 'practice', 'deploy', 'operate', 'built']","['engineering', 'big', 'data', 'systems']"
INFO_7390,Advances in Data Sciences and Architecture,"Covers a wide range of skills and responsibilities that are necessary for managing complex business performance and operational data. Such data tend to be fragmented, poorly organized, and often flawed. Offers students an opportunity to learn how a more up-to-date mapping of complex data works and to be alerted to the care and attention they must give to such a task as well as the implications of the results. Covers best practices for managing all aspects of the data transformation life cycle, covering broad areas such as requirements gathering, meta-model design, data integration and transformation, as well as implementation and ongoing operations. Discusses tools for mapping fragmented data into business intelligence solutions that guide successful strategies.",INFO 6105,Data,"['covers', 'wide', 'range', 'skills', 'responsibilities', 'necessary', 'managing', 'complex', 'business', 'performance', 'operational', 'data', 'data', 'tend', 'fragmented', 'poorly', 'organized', 'flawed', 'offers', 'students', 'opportunity', 'learn', 'date', 'mapping', 'complex', 'data', 'works', 'alerted', 'care', 'attention', 'must', 'give', 'task', 'well', 'implications', 'results', 'covers', 'best', 'practices', 'managing', 'aspects', 'data', 'transformation', 'life', 'cycle', 'covering', 'broad', 'areas', 'requirements', 'gathering', 'meta', 'model', 'design', 'data', 'integration', 'transformation', 'well', 'implementation', 'ongoing', 'operations', 'discusses', 'tools', 'mapping', 'fragmented', 'data', 'business', 'intelligence', 'solutions', 'guide', 'successful', 'strategies']","['advances', 'data', 'sciences', 'architecture']"
CSYE_7280,User Experience Design and Testing,Introduces user experience concepts while working on Web design projects. Offers students an opportunity to build the necessary skill sets to make better decisions when designing contemporary websites that cater to customer needs. Students practice interview techniques to understand user requirements while keeping user experience central to the effort. Uses wireframes and user scenarios to drive the creative design process. Various case studies are introduced and discussed in team settings to emphasize user perspectives. Uses quality assurance and usability testing to drive validation and user-acceptance testing and approvals., CSYE 6200 | INFO 5100 ,Intelligence System,"['introduces', 'user', 'experience', 'concepts', 'working', 'web', 'design', 'projects', 'offers', 'students', 'opportunity', 'build', 'necessary', 'skill', 'sets', 'make', 'better', 'decisions', 'designing', 'contemporary', 'websites', 'cater', 'customer', 'needs', 'students', 'practice', 'interview', 'techniques', 'understand', 'user', 'requirements', 'keeping', 'user', 'experience', 'central', 'effort', 'uses', 'user', 'scenarios', 'drive', 'creative', 'design', 'process', 'various', 'case', 'studies', 'introduced', 'discussed', 'team', 'settings', 'emphasize', 'user', 'perspectives', 'uses', 'quality', 'assurance', 'usability', 'testing', 'drive', 'validation', 'user', 'acceptance', 'testing', 'approvals']","['user', 'experience', 'design', 'testing']"
INFO_7375,Special Topics in Artificial Intelligence Engineering and Applications,Covers recent advances in neural nets and deep learning techniques with applications to large-scale engineering problems.,INFO 6205,Intelligence System,"['covers', 'recent', 'advances', 'neural', 'nets', 'deep', 'learning', 'techniques', 'applications', 'large', 'scale', 'engineering', 'problems']","['special', 'topics', 'artificial', 'intelligence', 'engineering', 'applications']"
INFO_7610,Special Topics in Natural Language Engineering Methods and Tools,Covers the latest techniques in natural language processing with applications to unstructured data.,INFO 6205,Intelligence System,"['covers', 'latest', 'techniques', 'natural', 'language', 'processing', 'applications', 'unstructured', 'data']","['special', 'topics', 'natural', 'language', 'engineering', 'methods', 'tools']"
INFO_6350,Smartphones-Based Web Development,"Covers application development for mobile devices using advanced development platforms. Focuses on how to write mobile applications using cross-platform development tools and processes. Topics include user interfaces, the software life cycle, persistent storage, networking using HTTP and other REST interfaces, and mobile/handheld data applications. Requires a final project.",,User Experience,"['covers', 'application', 'development', 'mobile', 'devices', 'using', 'advanced', 'development', 'platforms', 'write', 'mobile', 'applications', 'using', 'cross', 'platform', 'development', 'tools', 'processes', 'topics', 'include', 'user', 'interfaces', 'software', 'life', 'cycle', 'persistent', 'storage', 'networking', 'using', 'http', 'rest', 'interfaces', 'mobile', 'handheld', 'data', 'applications', 'requires', 'final', 'project']","['smartphones', 'based', 'web', 'development']"
CSYE_7280,User Experience Design and Testing,Introduces user experience concepts while working on Web design projects. Offers students an opportunity to build the necessary skill sets to make better decisions when designing contemporary websites that cater to customer needs. Students practice interview techniques to understand user requirements while keeping user experience central to the effort. Uses wireframes and user scenarios to drive the creative design process. Various case studies are introduced and discussed in team settings to emphasize user perspectives. Uses quality assurance and usability testing to drive validation and user-acceptance testing and approvals.,CSYE_6200 | INFO_5100,User Experience,"['introduces', 'user', 'experience', 'concepts', 'working', 'web', 'design', 'projects', 'offers', 'students', 'opportunity', 'build', 'necessary', 'skill', 'sets', 'make', 'better', 'decisions', 'designing', 'contemporary', 'websites', 'cater', 'customer', 'needs', 'students', 'practice', 'interview', 'techniques', 'understand', 'user', 'requirements', 'keeping', 'user', 'experience', 'central', 'effort', 'uses', 'user', 'scenarios', 'drive', 'creative', 'design', 'process', 'various', 'case', 'studies', 'introduced', 'discussed', 'team', 'settings', 'emphasize', 'user', 'perspectives', 'uses', 'quality', 'assurance', 'usability', 'testing', 'drive', 'validation', 'user', 'acceptance', 'testing', 'approvals']","['user', 'experience', 'design', 'testing']"
INFO_6150,Web Design and User Experience Engineering,"Exposes students to both conceptual and technical aspects of Web design. User experience design is the discipline of creating a useful and usable website or application that is easily navigated and meets the needs of both the site owner and its users. Covers Web standards and best practices. Studies the fundamental concepts, techniques, practices, work flows, and tools associated with the practice of user-experience design in Web interfaces. Offers students an opportunity to learn the core principles of information architecture, usability, marketing hierarchy, and user experience for contextual, value-driven websites. Additional areas of focus include typography, color theory and composition, responsive design, CSS3 concepts, basic scripting, and JavaScript libraries to create functional, effective, and visually appealing websites.",CSYE_6200 | INFO_5100,User Experience,"['exposes', 'students', 'conceptual', 'technical', 'aspects', 'web', 'design', 'user', 'experience', 'design', 'discipline', 'creating', 'useful', 'usable', 'website', 'application', 'easily', 'navigated', 'meets', 'needs', 'site', 'owner', 'users', 'covers', 'web', 'standards', 'best', 'practices', 'studies', 'fundamental', 'concepts', 'techniques', 'practices', 'work', 'flows', 'tools', 'associated', 'practice', 'user', 'experience', 'design', 'web', 'interfaces', 'offers', 'students', 'opportunity', 'learn', 'core', 'principles', 'information', 'architecture', 'usability', 'marketing', 'hierarchy', 'user', 'experience', 'contextual', 'value', 'driven', 'websites', 'additional', 'areas', 'focus', 'include', 'typography', 'color', 'theory', 'composition', 'responsive', 'design', 'css', 'concepts', 'basic', 'scripting', 'javascript', 'libraries', 'create', 'functional', 'effective', 'visually', 'appealing', 'websites']","['web', 'design', 'user', 'experience', 'engineering']"
